ID,gender,bodyweight,age,weightlifted
subj2,Female,79.3,26.79,111.3
subj4,Female,95.9,26.56,123.9
subj5,Female,94.1,23.58,118.5
subj8,Female,89.4,26.66,110.3
subj9,Female,65.1,26.99,110.9
subj10,Female,69.4,31.46,112.3
subj14,Female,86.4,23.15,119.7
subj16,Female,74.2,23.8,109.7
subj17,Female,83.9,26.44,112
subj21,Female,89.9,25.62,114.1
subj25,Female,81.1,22.88,112.5
subj30,Female,88.1,32.58,118.2
subj31,Female,75.6,31.73,112.9
subj32,Female,80.5,25.7,113.6
subj34,Female,76.4,25.3,109.5
subj36,Female,89.4,25,112.5
subj39,Female,79.3,27.31,113.2
subj42,Female,68.5,23.46,109.6
subj43,Female,91.1,23.89,119.4
subj47,Female,77.6,27.52,114.1
subj48,Female,86.9,27.81,116.6
subj49,Female,83,26.15,110.2
subj52,Female,84.7,23.43,115.8
subj53,Female,83.8,26.27,118.4
subj54,Female,94.6,26.06,124.9
subj55,Female,85.5,23.1,118.9
subj56,Female,88.4,25.9,118.8
subj57,Female,92.2,21.94,119.7
subj58,Female,94,23.71,115.8
subj59,Female,67.5,34.02,111.9
subj60,Female,86.2,25.5,114.1
subj61,Female,77,26.97,114.4
subj63,Female,82.7,26.89,109.2
subj64,Female,93.2,29.5,114.7
subj65,Female,87.4,30.3,117.3
subj66,Female,97.9,29.65,113.2
subj67,Female,78.6,34.82,113.6
subj71,Female,101.6,25.57,122.1
subj72,Female,92.7,35.99,116.3
subj73,Female,84.1,29.9,117.8
subj77,Female,75.9,28.19,112.4
subj79,Female,92.6,24.23,118.2
subj82,Female,89.4,24.85,122.2
subj86,Female,78.6,25.61,112.3
subj88,Female,90.1,31.87,124.2
subj89,Female,70.9,29.27,112.4
subj91,Female,92,20.74,118.9
subj94,Female,73.2,30.91,108.3
subj96,Female,93.8,31.01,121.4
subj97,Female,64.2,29.58,111.8
subj100,Female,88.5,25.99,120
subj103,Female,90.6,32.94,119.5
subj104,Female,77.6,30.02,111.3
subj105,Female,76.9,29.83,109.2
subj106,Female,103.7,25.04,128.3
subj109,Female,92.3,32.66,116.3
subj110,Female,91.3,26.71,118
subj111,Female,60,34.54,110.4
subj114,Female,87,18.32,112.2
subj115,Female,83.1,23.87,116.8
subj119,Female,103.9,31.43,124
subj121,Female,95.5,23.08,117.9
subj125,Female,82.3,24.42,115.9
subj126,Female,81.7,26.75,115.8
subj128,Female,94.1,25.77,116.9
subj130,Female,88.7,28.42,111.4
subj134,Female,91.3,30.73,112.8
subj135,Female,77.6,23.9,108.1
subj136,Female,94.4,25.33,120.2
subj138,Female,88.7,30.45,110.4
subj140,Female,80.3,34.58,113.7
subj142,Female,93.6,36.99,115.5
subj143,Female,106.2,28.39,125.5
subj145,Female,80.6,31.82,115.4
subj148,Female,93.9,24.83,119.1
subj149,Female,88.6,27.81,113.9
subj150,Female,78.8,28.08,111.8
subj152,Female,103.1,32.59,124.6
subj156,Female,69.5,33.72,107
subj158,Female,81.8,30.88,113.2
subj160,Female,68.3,30.17,112.1
subj161,Female,73.4,24.27,114.6
subj164,Female,83.2,30.45,116.8
subj169,Female,86.8,27.59,115.4
subj170,Female,72,31.96,112.2
subj171,Female,67.6,22.54,110.3
subj172,Female,84.7,16.88,118.5
subj174,Female,90.2,32.21,115.7
subj175,Female,84,35.21,116.6
subj176,Female,90.7,20.39,115.5
subj178,Female,93,28.72,117.8
subj179,Female,72.2,33.85,114.2
subj181,Female,97.2,30.42,123.8
subj183,Female,91.2,35.24,117.4
subj186,Female,85.4,30.16,121.3
subj187,Female,92.4,20.24,118.4
subj189,Female,72.3,28.29,113.8
subj192,Female,87.7,17.53,112.1
subj193,Female,90.3,32.65,114
subj194,Female,85.6,32.67,120.8
subj195,Female,84,28.1,114.3
subj196,Female,78.6,23.64,113.2
subj197,Female,89.2,33.97,116.2
subj198,Female,107.7,29.62,126.1
subj200,Female,87.4,24.34,119.2
subj203,Female,90.5,30.74,115.1
subj206,Female,84.9,27.39,119.2
subj207,Female,82.6,23.23,112.2
subj209,Female,78.4,28.08,116.7
subj211,Female,63,25.96,110.8
subj212,Female,71,26.39,115.4
subj214,Female,75.5,31.75,112.8
subj215,Female,79.2,33.79,115.2
subj217,Female,82.5,27.54,112.3
subj219,Female,92.4,26.03,122.7
subj220,Female,72.9,24.22,107.5
subj222,Female,87.9,21.93,112.9
subj224,Female,83.2,24.27,115.6
subj225,Female,94.7,27.1,119.9
subj226,Female,95.5,33.51,119.7
subj228,Female,77.7,23.51,114.6
subj232,Female,74.2,31.58,109.5
subj233,Female,72.5,24.71,110
subj237,Female,86.3,28.8,114.6
subj238,Female,88.3,34.6,114.6
subj241,Female,92.9,35.95,118.9
subj243,Female,94.2,31.57,113.7
subj247,Female,82.8,36.67,118.7
subj248,Female,80.9,37.41,112.3
subj255,Female,80.8,29.54,112
subj258,Female,82.8,35.78,118.3
subj261,Female,93.3,25.08,116.1
subj262,Female,72.7,26.96,109.1
subj263,Female,79,20.04,108.2
subj264,Female,76.7,34.96,118.3
subj265,Female,78.5,34.78,109.3
subj268,Female,85.4,30.95,117.9
subj272,Female,77.5,20.11,110.7
subj274,Female,87.1,24.67,115.4
subj278,Female,72.6,25.43,107.7
subj280,Female,72.5,26.91,108.2
subj283,Female,87.9,23.25,116.9
subj284,Female,71.2,23.08,108.1
subj286,Female,91.9,24.21,110.1
subj288,Female,75,24.32,113.3
subj289,Female,92.1,15.65,117.6
